drug_id,drug_name
CID100107969,Fty720
CID100107994,Quinaprilat
CID100110634,Vardenafil
CID100110635,Tadalafil
CID100114709,Eslicarbazepine
CID100115237,Paliperidone
CID100115355,Ntbc
CID100119182,Clofarabine
CID100119212,Benzylpenicilloyl
CID100119607,Valdecoxib
CID100119828,Parecoxib
CID100119830,Tenofovir
CID100121396,N-Carbamylglutamate
CID100121749,Ustekinumab
CID100121892,Retigabine
CID100122197,Fp-Cit
CID100122316,Rasagiline
CID100123015,Su5416
CID100123597,Travoprost
CID100123606,Almotriptan
CID100123610,Eptifibatide
CID100123611,Fondaparinux
CID100123619,Etoricoxib
CID100123620,Mometasone
CID100123623,Cancidas
CID100123631,Gefitinib
CID100123634,Trisequens
CID100123809,Madopar
CID100124087,Desloratadine
CID100125017,Desvenlafaxine
CID100125889,Pregabalin
CID100127909,Bimatoprost
CID100128549,Trandolaprilat
CID100129228,Rufinamide
CID100129806,Rosuvastatin
CID100130564,Esomeprazole
CID100130881,Olmesartan
CID100131535,Fosamprenavir
CID100132804,Pitavastatin
CID100132971,Abiraterone
CID100132999,Ivabradine
CID100134018,Febuxostat
CID100134019,Pixantrone
CID100134780,Pomalidomide
CID100135113,Sacrosidase
CID100145068,Nitric
CID100147740,Drospirenone
CID100147912,Posaconazole
CID100148121,Pralatrexate
CID100148127,Ospemifene
CID100148191,Temsirolimus
CID100148192,Atazanavir
CID100148211,Palonosetron
CID100150310,Eplerenone
CID100150311,Ezetimibe
CID100150610,Ertapenem
CID100151075,Nepafenac
CID100151165,Aprepitant
CID100151171,Conivaptan
CID100152945,Dutasteride
CID100153941,Entecavir
CID100153994,Clevidipine
CID100154058,Solifenacin
CID100154256,Bazedoxifene
CID100156326,Asenapine
CID100156418,Cinacalcet
CID100157429,Gadopentetate
CID100157688,Vinflunine
CID100157920,Lubiprostone
CID100157921,Methyl
CID100158781,Olmesartan
CID100158786,Pegaptanib
CID100159247,Sevelamer
CID100160036,Mndpdp
CID100160051,Colesevelam
CID100160352,Zidovudine/Lamivudine
CID100163296,Tipranavir
CID100166548,Anidulafungin
CID100168625,Poly(Styrene
CID100168924,Lanthanum
CID100170361,Varenicline
CID100171558,Kaluril
CID100176870,Erlotinib
CID100179344,Eslicarbazepine
CID100185457,S-Benzoylmercaptoacetyltriglycine
CID100192155,Prednefrin
CID100193962,Etravirine
CID100197281,Gadobenate
CID100197712,Ambrisentan
CID100206527,L-Dmp
CID100208898,Dronedarone
CID100208902,Ramelteon
CID100208908,Lapatinib
CID100208920,Nuvaring
CID100213023,Dabigatran
CID100213039,Darunavir
CID100213046,Lurasidone
CID100214339,Luliconazole
CID100216209,Aliskiren
CID100216210,Dabigatran
CID100216235,Sitaxsentan
CID100216237,Tolvaptan
CID100216239,Sorafenib
CID100216258,Colimycin
CID100216326,Lenalidomide
CID100216416,Lasofoxifene
CID100219024,Regadenoson
CID100219078,Lacosamide
CID100219084,Gd-Eob-Dtpa
CID100219090,Fosaprepitant
CID100222786,Cortisone
CID100315411,18F-Fdg
CID100358641,Trimethoprim-Sulfamethoxazole
CID100441332,Carboprost
CID100441382,Natamycin
CID100443379,Cas
CID100444006,Cefditoren
CID100444013,Gadoversetamide
CID100444033,Ciclesonide
CID100449193,Roflumilast
CID100455658,Hemin
CID100477468,Fk463
CID100483407,Maraviroc
CID100489129,Efinaconazole
CID100517045,Sodium
CID100644241,Nilotinib
CID100656628,Silodosin
CID100656892,Tmc207
CID100657298,Propylthiouracil
CID100667490,6-Mercaptopurine
CID101349907,Methimazole
CID102723601,6-Thioguanine
CID102761171,Ethionamide
CID103006171,Rilpivirine
CID103010818,D-Telaprevir
CID103038497,Fospropofol
CID103052762,Prucalopride
CID103055172,Pimecrolimus
CID103062316,Dasatinib
CID103080904,Estrofem
CID103081276,Fluticasone/Salmeterol
CID103081361,Vandetanib
CID103081362,Telavancin
CID103081884,Copolymer
CID103085017,Sevelamer
CID103086257,Photofrin
CID103086685,Axitinib
CID103086686,Sunitinib
CID103325225,Alx
CID104369359,Sitagliptin
CID104474778,2-Hydroxysuccinaldehyde
CID104479094,Doxercalciferol
CID104479097,Hydroxocobalamin
CID104517618,Sodium
CID104630253,Alclometasone
CID104659568,Entacapone
CID104659569,Tolcapone
CID105001396,Warfarin
CID105251896,Vildagliptin
CID105273759,Abacavir-Lamivudine
CID105277135,Elvitegravir
CID105281007,Dacarbazine
CID105310993,Acipimox
CID105311167,Halobetasol
CID105327147,Polyoxyethylene
CID105328940,Bosutinib
CID105353894,Pralidoxime
CID105353980,Sulfasalazine
CID105359596,Arsenic
CID105360237,Paroven
CID105361912,Rifabutin
CID105361917,Methylnaltrexone
CID105362070,Balsalazide
CID105362420,Verteporfin
CID105381226,Rifampicin
CID105462337,Olsalazine
CID105464096,Ramiprilat
CID105479141,Cgp
CID105487068,Mersyndol
CID105487301,Tegaserod
CID105488383,Ofatumumab
CID105488547,Alvimopan
CID105493381,Deferasirox
CID106102852,Gadobutrol
CID106323497,Rifapentine
CID106326970,Selenium
CID106328144,Radium
CID106328526,Ac1O3Ha7
CID106331630,Eribulin
CID106333887,Auranofin
CID106398970,Cefdinir
CID106433082,Hexaminolevulinate
CID106433091,Tapentadol
CID106433101,Tafluprost
CID106433117,Indacaterol
CID106433119,Rivaroxaban
CID106435110,Ivermectin
CID106437075,Timentin
CID106440191,Fidaxomicin
CID106442177,Everolimus
CID106445540,Ixabepilone
CID106452749,Locorten
CID106453361,Sativex
CID106477186,Delamanid
CID106850789,Iron
CID106850791,Leuprorelin
CID106918182,Strontium
CID106918313,Vilazodone
CID106918366,Fosaprepitant
CID106918430,Ceftobiprole
CID106918456,Prasugrel
CID106918462,Retapamulin
CID106918558,Fesoterodine
CID106918584,Sugammadex
CID106918638,Belinostat
CID106918670,Pep005
CID109794842,Tasimelteon
CID109800339,Olodaterol
CID109810131,Ceftaroline
CID109811221,Cabazitaxel
CID109812414,Dalteparin
CID109815559,Trans
CID109818231,Tofacitinib
CID109825285,Azilsartan
CID109831414,Lovaza
CID109831761,Irbesartan-Hydrochlorothiazide
CID109831783,Stalevo
CID109846180,Eltrombopag
CID109853053,Lomitapide
CID109854489,Fluticasone
CID109865528,Mirabegron
CID109869929,Avanafil
CID109871419,Ticagrelor
CID109887712,Dapagliflozin
CID109898619,Depreotide
CID109912092,Apremilast
CID109924495,Perampanel
CID109930048,Vernakalant
CID109940864,Benicar-Hct
CID109941444,Som230
CID109966051,Lu
CID110028615,Vorapaxar
CID110096344,Linagliptin
CID110107393,18F-Flutemetamol
CID110113978,Pazopanib
CID110163178,Afatinib
CID110178705,Besifloxacin
CID110182969,Apixaban
CID110324367,Boceprevir
CID110465263,Lorcaserin
CID110482134,Glycerol
CID111001318,Tafamidis
CID111020241,Ascorbate
CID111163584,Alogliptin
CID111167602,Regorafenib
CID111228026,Aclidinium
CID111234049,Tr-700
CID111235728,Saxagliptin
CID111238823,Azilsartan
CID111254352,Sodium
CID111304743,Riociguat
CID111499245,An2690
CID111501341,Florbetaben
CID111505907,Zyprexa
CID111519069,Umeclidinium
CID111531537,Eliglustat
CID111556711,Carfilzomib
CID111593706,Sevelamer
CID111597571,Crizotinib
CID111597697,Lisdexamfetamine
CID111672461,Gadofosveset
CID111707110,Trametinib
CID111722286,Spinosad
CID111947681,Nitroprusside
CID111949646,Empagliflozin
CID111979316,Vasopressin
CID113559279,Ulipristal
CID115951529,Mdv3100
CID116004692,Macitentan
CID116065945,Tmc435
CID116126651,Pci-32765
CID116129616,Salmon
CID116129617,Cosyntropin
CID116129629,Ly146032
CID116129632,Nuvocid
CID116129665,Vitrum
CID116129672,Insulin
CID116129682,Forteo
CID116129690,Ziconotide
CID116129701,T-A2-3
CID116129703,Revasc
CID116129704,Bivalirudin
CID116130199,Enfuvirtide
CID116130295,Bpti
CID116130957,Org
CID116131215,Abarelix
CID116131310,Hepatitis
CID116132265,Acth(1-39
CID116132283,Glucagon
CID116132344,Ocrh
CID116132418,Novolog
CID116132438,Humalog
CID116132441,Refludan
CID116132446,Symlin
CID116134956,Liraglutide
CID116136245,Degarelix
CID116137271,Insulin
CID116139342,Lyxumia
CID116139605,Teduglutide
CID116156130,Exenatide
CID116158207,Linaclotide
CID116158473,O291
CID116213095,Pentastarch
CID116220172,Ivacaftor
CID117754772,Ruxolitinib
CID119371515,Alcaftadine
CID122834577,Nesiritide
CID123668479,Raltegravir
CID123689036,Pertechnetate
CID123690938,Piroxicam
CID124762228,Azarga
CID124776445,Vismodegib
CID124812758,Canagliflozin
CID124822371,Florbetapir
CID124826799,Ponatinib
CID124838347,Glucagon
CID124846132,Hetastarch
CID124950485,Cobicistat
CID124965990,Suvorexant
CID125074470,Triptorelin
CID125074886,Cetrorelix
CID125077405,Nafarelin
CID125077993,Histrelin
CID125094462,Sofosbuvir
CID125102847,Cabozantinib
CID125880656,Doxycycline
CID125880664,Tetracycline
CID126275995,Minocycline
CID140468184,Acenocoumarol
CID142611257,Vemurafenib
CID144134877,Oxytetracycline
CID144146714,Lantus
CID144201342,Tesamorelin
CID144201343,Ecallantide
CID144462760,Dabrafenib
CID144564107,Mipomersen
CID144564722,Promacta
CID144567678,Dalbavancin
CID146181941,Signifor
CID146216142,Dolutegravir
CID151508717,Tenoxicam
CID151601240,Demeclocycline
CID153477714,Heparin
CID153627505,Hydroxypropyl
CID154677977,A77
CID154681041,Tigecycline
CID154682541,Doxycycline
CID154687131,Lymecycline
CID156603655,Pegaptanib
CID156842239,N-3
CID170683024,X
CID170695640,Colestyramine
CID171306834,K779
